"","File_Name","Child_ID","Child_Age","Start_Time","End_Time","Child_C","Child_X","Child_R","Child_L","Adult_Lyrical_N","Adult_Lyrical_U","Adult_Lyrical_T","Adult_NonLyrical_N","Adult_NonLyrical_U","Adult_NonLyrical_T","Adult_NoMusic_N","Adult_NoMusic_U","Adult_NoMusic_T","Child_C_log","Child_X_log","Child_R_log","Child_L_log","Adult_Lyrical_N_log","Adult_Lyrical_U_log","Adult_Lyrical_T_log","Adult_NonLyrical_N_log","Adult_NonLyrical_U_log","Adult_NonLyrical_T_log","Adult_NoMusic_N_log","Adult_NoMusic_U_log","Adult_NoMusic_T_log","Child_C_count","Child_X_count","Child_R_count","Child_L_count","Adult_Lyrical_N_count","Adult_Lyrical_U_count","Adult_Lyrical_T_count","Adult_NonLyrical_N_count","Adult_NonLyrical_U_count","Adult_NonLyrical_T_count","Adult_NoMusic_N_count","Adult_NoMusic_U_count","Adult_NoMusic_T_count"
"326","0776_000911",776,9,45399,45699,0,10.868,0,0,0,0,0,0,0,0,4.265,0,0,-6.90775527898214,2.38591470058105,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.45067662004916,-6.90775527898214,-6.90775527898214,0,17,0,0,0,0,0,0,0,0,4,0,0
"333","0787_000906",787,9,1152,1452,0.425,24.185,20.534,0,1.05,2.301,40.831,0,0,0,56.101,0,43.711,-0.853315932712767,3.18577395336308,3.02213074740852,-6.90775527898214,0.049742091894814,0.833778310299691,3.70946608772232,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.02717146251707,-6.90775527898214,3.77762266394832,1,36,9,0,1,1,16,0,0,0,51,0,35
"334","0787_000906",787,9,5952,6252,45.673,44.534,0,0,0,0,0,0,0,0,57.489,0,19.794,3.8215292082094,3.79627539688383,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.0516110196352,-6.90775527898214,2.98542938055809,35,45,0,0,0,0,0,0,0,0,44,0,16
"335","0787_000906",787,9,28152,28452,16.134,39.133,6.184,43.206,0,0,0,0,0,0,2.645,0,2.844,2.78099082550393,3.66699165435591,1.82212700584445,3.76600251916052,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.973049065692764,-6.90775527898214,1.04556306757829,15,74,4,37,0,0,0,0,0,0,3,0,2
"336","0787_010604",787,18,25425,25725,63.154,22.716,0,6.653,0,0,0,0,0,0,5.363,0,37.601,4.14559202222594,3.12311354288108,-6.90775527898214,1.89521817759629,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.67970996541943,-6.90775527898214,3.62705724047059,56,33,0,6,0,0,0,0,0,0,4,0,45
"337","0787_010604",787,18,26925,27225,33.29,46.985,0,1.5,0,0,0,0,0,0,20.45,0.67,84.7,3.50528709018654,3.84984968499686,-6.90775527898214,0.406131552651325,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.01803178104876,-0.398986142010455,4.43912740796376,26,60,0,2,0,0,0,0,0,0,17,3,64
"338","0787_010604",787,18,37125,37425,5.81,58.183,12.463,0,0,0,0,0,0,0,16.983,1.627,16.221,1.75975267309297,4.06361040285224,2.52284448912839,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.83227172440096,0.487352267580348,2.78636834564815,7,100,7,0,0,0,0,0,0,0,14,1,17
"345","0804_000901a",804,9,7461,7761,3.349,18.824,20.71,0.643,0,0,0,0,0,0,28.191,0.91,14.417,1.20896034583698,2.93518577368596,3.03066496009401,-0.440056552877783,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.33903824975377,-0.0932123817221787,2.66847742598239,2,32,14,1,0,0,0,0,0,0,28,1,14
"346","0804_000901a",804,9,11361,11661,9.602,82.689,22.368,0,0,0,0,0,0,0,24.241,1.279,46.003,2.26207554965584,4.41509867573408,3.10767607177598,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.18808666604832,0.246860077931526,3.82872834923033,7,66,8,0,0,0,0,0,0,0,20,2,35
"347","0804_000901b",804,9,4956,5256,3.75,78.2600000000001,0,0.78,0,0,0,0,0,0,0,6.64,17.38,1.32202247109975,4.36004939462039,-6.90775527898214,-0.247180129142451,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.89326255455858,2.85537765558134,3,75,0,1,0,0,0,0,0,0,0,5,16
"348","0804_010602",804,18,12244,12544,21.827,23.594,0,0,0,0,0,0,0,0,18.089,0,24.255,3.08319354932399,3.16103482517835,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.8953592994072,-6.90775527898214,3.18866400945996,27,32,0,0,0,0,0,0,0,0,18,0,28
"349","0804_010602",804,18,23644,23944,9.01,17.832,0,16.376,0,0,0,0,0,1.71,11.225,0.503,57.512,2.1984460532529,2.88105067347038,-6.90775527898214,2.79587791146773,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.537077994910056,2.41823251652001,-0.685179010910768,4.05201100920602,12,27,0,12,0,0,0,0,0,1,11,1,58
