"","File_Name","Child_ID","Child_Age","Start_Time","End_Time","Child_C","Child_X","Child_R","Child_L","Child_C_X","Adult_Lyrical_N","Adult_Lyrical_U","Adult_Lyrical_T","Adult_NonLyrical_N","Adult_NonLyrical_U","Adult_NonLyrical_T","Adult_NoMusic_N","Adult_NoMusic_U","Adult_NoMusic_T","Child_C_log","Child_X_log","Child_R_log","Child_L_log","Child_C_X_log","Adult_Lyrical_N_log","Adult_Lyrical_U_log","Adult_Lyrical_T_log","Adult_NonLyrical_N_log","Adult_NonLyrical_U_log","Adult_NonLyrical_T_log","Adult_NoMusic_N_log","Adult_NoMusic_U_log","Adult_NoMusic_T_log","Child_C_count","Child_X_count","Child_R_count","Child_L_count","Child_C_X_count","Adult_Lyrical_N_count","Adult_Lyrical_U_count","Adult_Lyrical_T_count","Adult_NonLyrical_N_count","Adult_NonLyrical_U_count","Adult_NonLyrical_T_count","Adult_NoMusic_N_count","Adult_NoMusic_U_count","Adult_NoMusic_T_count"
"110","0223_000905",223,9,35126,35426,1.48,13.934,0,0,15.414,0,0,0,0,0,0,25.153,4.48,4.609,0.908258560176891,2.70364049261351,0,0,2.79813462920752,0,0,0,0,0,0,3.26396390668413,1.70110510095992,1.7243724505262,2,20,0,0,22,0,0,0,0,0,0,21,2,8
"111","0223_000905",223,9,39026,39326,0,3.595,6.278,0,3.595,0,0,4.965,0,0,7.112,0.858,1.783,82.826,0,1.52496875580765,1.98485609918997,0,1.52496875580765,0,0,1.78590905554988,0,0,2.09334444684883,0.619500640391647,1.02352948254375,4.42874322189641,0,6,6,0,6,0,0,2,0,0,4,1,2,41
"112","0223_010609",223,18,2676,2976,4.616,35.643,0,24.151,40.259,0,0,0,0,0,0,94.591,0.537,49.364,1.72561966672351,3.60122241418339,0,3.22489765718669,3.71986927080068,0,0,0,0,0,0,4.56007867336628,0.429832464556459,3.91927663413945,5,36,0,14,41,0,0,0,0,0,0,68,1,36
"113","0223_010609",223,18,22176,22476,8.583,14.798,0,0.537,23.381,0,0,0,0,0,0,132.71,0.879,29.096,2.25999069536162,2.75988334974223,0,0.429832464556459,3.19380414043918,0,0,0,0,0,0,4.89567327562657,0.630739720431328,3.40439227255867,12,27,0,1,39,0,0,0,0,0,0,80,1,22
"114","0223_010609",223,18,25776,26076,19.48,6,0,0,25.48,0,0,0,1.61,0,0,23.32,1.46,13.88,3.01944880017131,1.94591014905531,0,0,3.27638973106881,0,0,0,0.959350221334602,0,0,3.19129905709797,0.900161349944271,2.70001802940495,32,8,0,0,40,0,0,0,1,0,0,17,2,9
"115","0225_000301a",225,3,3170,3470,8.815,46.779,0,0,55.594,0,0,0,0,0,0,73.052,0,10.707,2.28391182772842,3.86658621241954,0,0,4.03590297252285,0,0,0,0,0,0,4.30476754912693,0,2.46018695349754,10,68,0,0,78,0,0,0,0,0,0,61,0,11
"116","0225_000301b",225,3,11400,11700,5.36,94.679,2.414,0,100.039,0,0,0,0,0,0,28.089,1.827,1.041,1.85002837735203,4.56099883864269,1.22788462437225,0,4.61550658092279,0,0,0,0,0,0,3.37036009584199,1.03921607871145,0.713439883827708,3,98,3,0,101,0,0,0,0,0,0,20,2,1
"117","0225_000301b",225,3,25500,25800,26.551,33.37,13.31,0.662,59.921,0,0,0,0,0,0,20.673,0,10.718,3.31603883258083,3.53718409086174,2.66095859356836,0.508021696433256,4.10957794286269,0,0,0,0,0,0,3.07606724620626,0,2.4611261211226,19,74,6,2,93,0,0,0,0,0,0,24,0,10
"118","0225_000301b",225,3,27900,28200,5.857,40.28,0,0,46.137,0,0,0,0,0,0,29.581,0,14.008,1.92527002830223,3.72037812117331,0,0,3.85305825526224,0,0,0,0,0,0,3.42037890107808,0,2.70858339226387,7,60,0,0,67,0,0,0,0,0,0,21,0,17
"119","0225_000602",225,6,4708,5008,6.474,74.982,85.571,0.561,81.456,0,0,0,0,0,0,0,0,0,2.01143033106329,4.33049647012955,4.4609648865067,0.445326641533295,4.41226481773449,0,0,0,0,0,0,0,0,0,3,42,10,1,45,0,0,0,0,0,0,0,0,0
"120","0225_000602",225,6,33508,33808,0,55.004,97.698,0,55.004,0,0,0,0,0,0,0,0,0,0,4.02542311675568,4.59206468280961,0,4.02542311675568,0,0,0,0,0,0,0,0,0,0,55,50,0,55,0,0,0,0,0,0,0,0,0
"121","0225_000602",225,6,40108,40408,1.241,71.547,37.417,0,72.788,0,0,0,0,0,0,0,0,0,0.80692219481879,4.28423462768267,3.64850006996059,0,4.30119611675933,0,0,0,0,0,0,0,0,0,2,91,12,0,93,0,0,0,0,0,0,0,0,0
"122","0225_000901",225,9,2588,2888,1.44,36.921,74.139,0,38.361,0,0,0,0,0,0,46.734,0.736,5.285,0.89199803930511,3.63550504834712,4.31933973156645,0,3.67277547836538,0,0,0,0,0,0,3.86564393224135,0.551583616238158,1.83816584204221,1,28,22,0,29,0,0,0,0,0,0,36,1,5
"123","0225_000901",225,9,14588,14888,0,45.483,165.477,0,45.483,0,0,0,0,0,0,0,0,0,0,3.83908665435063,5.11485716174041,0,3.83908665435063,0,0,0,0,0,0,0,0,0,0,37,71,0,37,0,0,0,0,0,0,0,0,0
"124","0225_000901",225,9,21992,22292,0,18.183,14.744,0,18.183,0,0,0,0,0,0,117.895,0,7.716,0,2.9540244701542,2.7564593403099,0,2.9540244701542,0,0,0,0,0,0,4.77824075066786,0,2.16516041708237,0,18,7,0,18,0,0,0,0,0,0,75,0,4
"125","0225_010601",225,18,24796,25096,4.774,16.236,28.425,19.797,21.01,0,0,0,0,0,0,26.141,0,15.406,1.75336508124074,2.84700021975359,3.38184465314634,3.03480874553578,3.09149689553837,0,0,0,0,0,0,3.30104549971171,0,2.79764712158056,2,15,15,6,17,0,0,0,0,0,0,14,0,15
"126","0225_010601",225,18,33796,34096,8.43,38.344,19.422,0,46.774,0,0,0,0,0,0,10.45,0.44,8.096,2.24389609664537,3.67234348547384,3.01661275113335,0,3.86648155845777,0,0,0,0,0,0,2.43798973000025,0.364643113587909,2.20783475644823,6,29,12,0,35,0,0,0,0,0,0,11,1,7
"127","0225_010601",225,18,36196,36496,4.203,36.525,1.901,0,40.728,0,0,0,0,0,0,33.347,0,5.429,1.64923538230817,3.62500737751953,1.06505550513927,0,3.73117236630419,0,0,0,0,0,0,3.53651467860978,0,1.86081900515955,3,37,1,0,40,0,0,0,0,0,0,23,0,6
"128","0236_000305",236,3,3496,3796,1.055,52.937,25.94,0,53.992,0,0,0,0,0,0,0,0,50.345,0.720275847948198,3.98781669881227,3.29361217098222,0,4.00718772010748,0,0,0,0,0,0,0,0,3.93856756065026,1,69,7,0,70,0,0,0,0,0,0,0,0,37
"129","0236_000305",236,3,7096,7396,0,50.625,12.449,0,50.625,0,0,0,0,0,0,8.048,0,33.675,0,3.9440060512812,2.59890475384141,0,3.9440060512812,0,0,0,0,0,0,2.20254373881382,0,3.54601896620089,0,86,9,0,86,0,0,0,0,0,0,7,0,23
"130","0236_000305",236,3,15496,15796,1.52,48.17,12.49,0,49.69,0,0,0,0,0,0,0,0.23,41.11,0.924258901523332,3.89528368142385,2.60194867021966,0,3.92572865248426,0,0,0,0,0,0,0,0.207014169384326,3.74028524217384,3,92,11,0,95,0,0,0,0,0,0,0,1,37
"131","0236_000604",236,6,18173,18473,0.686,44.067,0,0,44.753,0,0,0,0,0,0,36.592,1.33,64.317,0.522358859579664,3.8081502713631,0,0,3.82325736334216,0,0,0,0,0,0,3.62679126180051,0.845868267577609,4.1792523393072,1,61,0,0,62,0,0,0,0,0,0,28,2,44
"132","0236_000604",236,6,23573,23873,0,20.1,0.699,0,20.1,0,0,0,0,0,0,70.352,0,19.574,0,3.04927304048202,0.530039842689795,0,3.04927304048202,0,0,0,0,0,0,4.26762537436391,0,3.02402814270884,0,35,2,0,35,0,0,0,0,0,0,58,0,18
"133","0236_000604",236,6,35873,36173,0,42.635,121.565,0,42.635,0,0,0,0,0,0,60.249,5.666,55.765,0,3.77585958061527,4.80864150150478,0,3.77585958061527,0,0,0,0,0,0,4.11494752276095,1.89701997988555,4.0389199386165,0,57,51,0,57,0,0,0,0,0,0,46,6,51
"134","0236_000904",236,9,15954,16254,8.84,57.77,0,0,66.61,0,0,0,0,0,0,0.715,0,70.555,2.28645571106416,4.07363152062456,0,0,4.21375590110259,0,0,0,0,0,0,0.539413080617903,0,4.27046638476284,5,86,0,0,91,0,0,0,0,0,0,1,0,49
"135","0236_000904",236,9,20454,20754,0,73.971,0,0,73.971,0,0,0,0,0,0,1.913,3.214,109.091,0,4.31710137209481,0,0,4.31710137209481,0,0,0,0,0,0,1.0691834779773,1.438412315382,4.70130729651821,0,96,0,0,96,0,0,0,0,0,0,1,3,83
"136","0236_000904",236,9,24054,24354,18.88,54.93,4.18,0,73.81,0,0,0,0,0,0,8,0.15,52.41,2.98971420122843,4.0241009088335,1.64480505627139,0,4.31495156588431,0,0,0,0,0,0,2.19722457733622,0.139761942375159,3.97799799435168,11,66,6,0,77,0,0,0,0,0,0,6,1,46
"137","0236_010600",236,18,2790,3090,6.673,31.256,0,0.465,37.929,0,0,0,0,0,0,4.277,0.859,95.221,2.03770767319553,3.4737040724489,0,0.381855242469031,3.6617394741617,0,0,0,0,0,0,1.66335775442353,0.620038708739307,4.56664762906702,8,33,0,1,41,0,0,0,0,0,0,6,1,77
"138","0236_010600",236,18,31880,32180,15.393,13.647,37.09,0.324,29.04,0,0,0,0,0,0,77.543,1.495,35.006,2.79685441444432,2.68423553633617,3.63995178049051,0.280657457514817,3.40252982689593,0,0,0,0,0,0,4.36364624551739,0.914288729203482,3.58368559123543,12,13,20,1,25,0,0,0,0,0,0,59,2,31
"139","0236_010600",236,18,40580,40880,54.076,41.864,0.517,0.488,95.94,0,0,0,0,0,5.978,106.341,0,17.643,4.00871404958213,3.75803231280225,0.416734700366395,0.3974329364109,4.57409223041723,0,0,0,0,0,1.94276234276458,4.67601068289683,0,2.92547074051332,38,40,1,1,78,0,0,0,0,0,3,86,0,16
"140","0274_000221",274,3,14193,14493,2.756,72.811,11.618,0,75.567,0,0,0,0,0,0,0,0,0,1.32335456134602,4.30150777198987,2.53512436594862,0,4.33816617452204,0,0,0,0,0,0,0,0,0,5,156,25,0,161,0,0,0,0,0,0,0,0,0
"141","0274_000221",274,3,16293,16593,0.581,64.719,0,0,65.3,0,0,0,0,0,0,4.696,0,42.435,0.458057558227335,4.18538807698513,0,0,4.19418989719182,0,0,0,0,0,0,1.73976417410967,0,3.77126556771188,2,108,0,0,110,0,0,0,0,0,0,7,0,50
